NO,Àü¿ë¸éÀû(§³),¿ù¼¼±Ý(¸¸¿ø),Ãþ_2019,Ãþ_2020,Ãþ_2021,Ãþ_2022,Ãþ_2023,°ÇÃà³âµµ,X,Y,ÃÖÁ¾ Áý°ª(¸¸¿ø)
48562.68,11.95,43.36,7.57,7.57,7.57,7.57,7.57,2011.8,126.95,37.55,21702.31
48038.52,17.06,40.76,5.26,5.26,5.26,5.26,5.26,2020.32,126.99,37.44,23021.14
27009.41,27.54,52.6,7.14,7.14,7.14,7.14,7.14,2007.81,127.03,37.54,21662.67
16912.35,35.1,20.48,0.02,0.02,0.02,0.02,0.02,2014.51,126.98,37.5,1803.5
3492.65,72.97,151.62,3.54,3.54,3.54,3.54,3.54,2014.28,126.98,37.49,36382.3
30169.28,43.06,44.17,9.24,9.24,9.24,9.24,9.24,2026.59,127.01,37.58,8997.03
18792.76,41.18,97.95,4.52,4.52,4.52,4.52,4.52,2013.57,127.09,37.52,35104.03
57860.35,13.91,22.37,8.65,8.65,8.65,8.65,8.65,2018.46,126.96,37.5,17401.07
64458.86,17.68,13.11,6.37,6.37,6.37,6.37,6.37,2013.02,127.02,37.57,27152.23
73457.53,39.59,89.91,5.81,5.81,5.81,5.81,5.81,2011.03,126.91,37.6,10640.06
32523.19,48.32,27.73,6.52,6.52,6.52,6.52,6.52,2022.12,126.88,37.54,20926.48
49819,20.63,76.48,4.37,4.37,4.37,4.37,4.37,2016.7,127.03,37.52,20348.75
57060.45,11.95,55.56,2.58,2.58,2.58,2.58,2.58,2016.02,127,37.58,15702.98
28670.15,16.8,17.97,7.07,7.07,7.07,7.07,7.07,2021.81,126.97,37.49,23486.3
29403.55,8.92,6.64,6.97,6.97,6.97,6.97,6.97,1990.43,126.95,37.54,34832.21
25700.36,11.78,61.74,0.54,0.54,0.54,0.54,0.54,2009.86,126.85,37.51,33980.73
7983.93,35.11,2.49,7.03,7.03,7.03,7.03,7.03,2021.2,127.12,37.55,15481.64
43079.31,51.68,24.36,9.79,9.79,9.79,9.79,9.79,2010.05,127.04,37.47,18451.32
26707.51,17.19,70.64,9.46,9.46,9.46,9.46,9.46,2022.48,126.81,37.56,13563.38
49629.58,30.94,7.51,4.08,4.08,4.08,4.08,4.08,2022.53,127.04,37.56,17615.5
48792.71,13.06,4.32,8.24,8.24,8.24,8.24,8.24,2035.57,126.82,37.54,36714.85
49116.21,56.02,56.93,3.84,3.84,3.84,3.84,3.84,2007.34,127.03,37.56,13218.67
13323.22,26.86,4.13,2.45,2.45,2.45,2.45,2.45,2003.77,127.09,37.47,18562.43
33739.52,45.62,13.08,8.74,8.74,8.74,8.74,8.74,2008.71,126.8,37.61,16229.95
38871.13,27,8.16,7.02,7.02,7.02,7.02,7.02,2016.56,126.89,37.48,9456.88
21112.84,49.41,19.18,10.17,10.17,10.17,10.17,10.17,2001.03,126.98,37.56,18029.31
38293.8,5.13,35.35,5.42,5.42,5.42,5.42,5.42,2011.42,127.08,37.49,10571.26
40412,28.98,61.25,6.56,6.56,6.56,6.56,6.56,1999.29,127.04,37.56,6880
66435.07,37.82,24.68,1.05,1.05,1.05,1.05,1.05,2018.4,127.03,37.54,19281.47
67410.96,43.91,2.43,10.5,10.5,10.5,10.5,10.5,2022.67,126.87,37.49,17979.64
41266.05,50.81,20.49,6.76,6.76,6.76,6.76,6.76,2016.72,127.03,37.47,35240.75
56.62,8.23,46.1,1.03,1.03,1.03,1.03,1.03,2011.33,127.07,37.51,34828.3
16287.81,41.01,50.26,14.73,14.73,14.73,14.73,14.73,2011.61,127.09,37.56,16229.84
59710.26,21.56,108.15,13.95,13.95,13.95,13.95,13.95,2006.77,127.14,37.56,28437.88
2379.16,29.36,58.58,6.11,6.11,6.11,6.11,6.11,2010.56,126.96,37.55,26051.19
33719.69,28.12,23.92,3.68,3.68,3.68,3.68,3.68,1997.1,126.75,37.53,28537.55
56742.92,25.41,16.55,10.12,10.12,10.12,10.12,10.12,2006.8,126.92,37.54,29131.56
7484.36,26.24,89.36,7.82,7.82,7.82,7.82,7.82,2021.24,127.02,37.58,13453.34
28240.96,29.8,46.2,2.67,2.67,2.67,2.67,2.67,2011.05,126.96,37.51,10199.09
17597.13,7.27,57.35,7.65,7.65,7.65,7.65,7.65,2009.56,127.03,37.49,23479.75
17220.39,10.11,42.92,2.47,2.47,2.47,2.47,2.47,2006.81,126.87,37.66,35506.32
3673.23,55.92,0.62,6.06,6.06,6.06,6.06,6.06,2013.26,126.97,37.5,26607.28
36270.29,8.82,53.43,9.11,9.11,9.11,9.11,9.11,2021.88,126.92,37.56,26192.06
42998.96,39.35,115.11,9.59,9.59,9.59,9.59,9.59,2010.69,126.95,37.48,16993.71
25592.42,28.49,15.22,6.53,6.53,6.53,6.53,6.53,2009.43,126.84,37.44,18466.61
12541.27,52.37,6.35,9.7,9.7,9.7,9.7,9.7,2004.72,126.99,37.54,35573.42
12828.19,33.86,38.57,3.28,3.28,3.28,3.28,3.28,2021.15,127.01,37.55,20857.55
35797.1,20.56,48.57,4.59,4.59,4.59,4.59,4.59,2027.98,126.92,37.47,12364.95
43145.41,64.94,96.77,5.41,5.41,5.41,5.41,5.41,2009.42,126.92,37.57,30429.86
18914.54,17.51,10.01,4.78,4.78,4.78,4.78,4.78,2014.37,126.91,37.52,7040.63
30257.01,60.45,24.01,5.05,5.05,5.05,5.05,5.05,2013.58,126.94,37.52,28648.37
86352.37,35.76,82.41,6.04,6.04,6.04,6.04,6.04,1999.01,126.9,37.53,45440.21
7959.09,20.33,86.18,5.11,5.11,5.11,5.11,5.11,2015.81,126.94,37.54,24465.02
42587.46,27.16,47.7,1.82,1.82,1.82,1.82,1.82,2014.36,126.94,37.48,37875.72
49616.11,45.05,8.8,8.21,8.21,8.21,8.21,8.21,2013.7,127.04,37.53,23745.93
28131.01,44.57,34.8,13.65,13.65,13.65,13.65,13.65,2017.96,126.96,37.52,28100.78
39009.21,28.93,15.72,2.35,2.35,2.35,2.35,2.35,2010.9,127,37.57,21478.03
22247.83,49.12,93.87,3.87,3.87,3.87,3.87,3.87,2012.71,126.97,37.52,11821.6
52197.66,4.6,3.14,9.87,9.87,9.87,9.87,9.87,2018.09,127.1,37.57,10922.7
22794.21,26.64,117.76,10.78,10.78,10.78,10.78,10.78,2016.13,127.03,37.5,29153.33
62380.18,17.76,129.99,0.42,0.42,0.42,0.42,0.42,1998.87,126.87,37.52,26090.55
35130.18,5,3.94,0.49,0.49,0.49,0.49,0.49,2014.11,127.06,37.54,25402.21
16104.1,14.48,75.8,1.62,1.62,1.62,1.62,1.62,2016.08,126.94,37.42,3892.04
30040.03,42.2,66.21,7.95,7.95,7.95,7.95,7.95,2018.39,126.97,37.52,23020.74
29285.99,41.64,58.03,10.12,10.12,10.12,10.12,10.12,2003.45,126.75,37.5,26173.94
14076.39,13.94,61.74,9.96,9.96,9.96,9.96,9.96,2008.24,127.18,37.54,22820.18
37119.09,7.38,34.17,10.55,10.55,10.55,10.55,10.55,1998.51,127,37.5,42899.06
38197.41,59.6,54.89,14.96,14.96,14.96,14.96,14.96,2020.56,127.03,37.49,30359.23
44832.48,21.33,21.25,1.1,1.1,1.1,1.1,1.1,1996.32,126.84,37.52,23498.42
58192.59,20.14,70.39,7.28,7.28,7.28,7.28,7.28,2002.81,126.9,37.54,3788.88
3569.45,14.38,13.95,6.35,6.35,6.35,6.35,6.35,2006.16,126.91,37.51,11403.2
27539.31,32.65,27.52,8.84,8.84,8.84,8.84,8.84,2000.19,126.86,37.5,35676.92
70446.02,22.25,34.3,3.2,3.2,3.2,3.2,3.2,1985.73,127.11,37.55,30892.58
5463.66,34.74,39.51,11.64,11.64,11.64,11.64,11.64,2017.91,127.1,37.55,19282.55
58101.04,2.19,70.01,4.83,4.83,4.83,4.83,4.83,2015.15,127.09,37.49,16825.6
59414.41,40.83,17.25,7.04,7.04,7.04,7.04,7.04,2006.41,127.11,37.55,22145.22
6564.92,43.95,0.06,7.34,7.34,7.34,7.34,7.34,2017.77,126.86,37.46,52117.95
56323.74,32.74,67.31,15.63,15.63,15.63,15.63,15.63,2014.53,126.82,37.63,41904.31
63577.82,40.79,45.88,5.12,5.12,5.12,5.12,5.12,2020.08,126.97,37.57,33923.85
47243.72,6.57,9.58,4.21,4.21,4.21,4.21,4.21,2011.66,127.09,37.53,25615.15
35053.41,23.81,2.17,10.18,10.18,10.18,10.18,10.18,2016.24,126.96,37.54,554.16
27380.12,30.65,44.92,8.43,8.43,8.43,8.43,8.43,2010.13,126.87,37.55,9217.45
32691.17,23.77,103.39,4.53,4.53,4.53,4.53,4.53,2010.63,127.09,37.51,41633.52
40226.22,29.75,2.93,11.93,11.93,11.93,11.93,11.93,2003.79,127.02,37.53,33584.01
35841.67,43.45,108.36,2.46,2.46,2.46,2.46,2.46,2001.56,127.06,37.57,34791.48
58118.36,35.12,15.82,7.32,7.32,7.32,7.32,7.32,2010.17,127.07,37.53,12246.87
33415.13,51.58,89.15,10.15,10.15,10.15,10.15,10.15,2005.37,126.89,37.52,31539.44
58616.59,43.97,68.74,6.06,6.06,6.06,6.06,6.06,2029.27,126.96,37.51,22906.81
30913.33,62.54,55.12,0.83,0.83,0.83,0.83,0.83,2003.41,127,37.52,18764.42
28598.13,47.33,22.48,6.71,6.71,6.71,6.71,6.71,2012.02,127.07,37.42,5946.39
42826.99,18.96,12.87,9.47,9.47,9.47,9.47,9.47,2007.84,126.71,37.53,26082.65
40169.39,74.41,33.95,7.1,7.1,7.1,7.1,7.1,2010.52,126.98,37.58,25036.35
35798.41,32.77,42.89,13.43,13.43,13.43,13.43,13.43,2014.39,126.97,37.59,20640.73
26918.21,26.32,29.12,10.16,10.16,10.16,10.16,10.16,2026.9,127.05,37.56,9577.99
46678.64,63.05,14.99,9.97,9.97,9.97,9.97,9.97,2019.26,126.97,37.57,17540.7
52239.46,31.22,70.25,8.41,8.41,8.41,8.41,8.41,2022.36,126.89,37.6,20037.84
29059.47,39.92,104.19,10.87,10.87,10.87,10.87,10.87,2008.93,126.96,37.54,41870.65
57915.94,6,34.27,4.75,4.75,4.75,4.75,4.75,2014.51,126.93,37.54,19290.46
45310.37,40.27,38.86,10.78,10.78,10.78,10.78,10.78,2010.75,127.12,37.52,6516.85
29712.17,35.49,50.58,4.85,4.85,4.85,4.85,4.85,2008.38,127.05,37.54,19112.74
27446.19,52.4,51.58,4.18,4.18,4.18,4.18,4.18,2015.07,127.05,37.55,9259.9
7356.22,49.07,42.03,6.55,6.55,6.55,6.55,6.55,2015.54,127.05,37.61,33996.73
7966.07,33.66,36.77,9.93,9.93,9.93,9.93,9.93,2016.87,126.88,37.54,13254.11
44085.09,29.66,83.07,2.88,2.88,2.88,2.88,2.88,2013.84,126.79,37.55,2730.86
8166.96,4.27,50.33,9.04,9.04,9.04,9.04,9.04,2016.93,126.86,37.51,19366.25
73764.24,50.74,94.71,3.32,3.32,3.32,3.32,3.32,2021.28,127.09,37.49,20198.44
61624.85,26.31,81.79,6.6,6.6,6.6,6.6,6.6,2011.16,127.02,37.56,12814.18
46308,12.41,97.67,8.67,8.67,8.67,8.67,8.67,2024.41,126.9,37.59,18533.28
43578.3,41,6.53,2.63,2.63,2.63,2.63,2.63,2010.5,127.02,37.58,16246.69
3973.25,52.29,6.61,5.38,5.38,5.38,5.38,5.38,2013.79,127.03,37.45,18874.3
58873.56,15.18,5.42,2.47,2.47,2.47,2.47,2.47,2017.82,126.82,37.55,12816.84
37684.41,14.98,31.48,14.09,14.09,14.09,14.09,14.09,2013.55,126.84,37.52,25263.09
9970.67,11.72,6.86,6.95,6.95,6.95,6.95,6.95,2019.05,127.15,37.5,6465.62
30037.62,9.67,53.56,6.29,6.29,6.29,6.29,6.29,2013.84,126.89,37.48,4671.61
44888.54,29.02,18.01,13.34,13.34,13.34,13.34,13.34,2017.49,127.08,37.54,34811.22
37751.13,28.05,47.1,12.28,12.28,12.28,12.28,12.28,2009.52,127.06,37.43,21082.22
46653.66,14.26,24.22,6.4,6.4,6.4,6.4,6.4,2004.21,126.97,37.47,23607.47
53024.56,63.77,35.28,12.25,12.25,12.25,12.25,12.25,2003.39,126.96,37.57,38217.37
32579.14,53.85,103.16,10.17,10.17,10.17,10.17,10.17,1993.32,127.01,37.55,9137.06
26838.03,38.22,87.19,3.47,3.47,3.47,3.47,3.47,2013.16,126.97,37.61,7509.03
22618.62,29.04,76.9,12.48,12.48,12.48,12.48,12.48,2025.55,127.04,37.56,29798.37
40307.39,38.54,76.01,12.48,12.48,12.48,12.48,12.48,2015,126.95,37.46,20867.35
31164.94,28.14,28.22,9.22,9.22,9.22,9.22,9.22,2010.77,126.94,37.56,4456.17
54903.08,16.26,79.18,8.98,8.98,8.98,8.98,8.98,2012.13,127.09,37.55,26176.48
43537.39,15.39,60.58,1.62,1.62,1.62,1.62,1.62,2006.13,127.05,37.53,34633.28
89910.12,22.65,1.08,9.75,9.75,9.75,9.75,9.75,1997.19,127.11,37.54,3201.89
15218.13,43.3,41.63,2.59,2.59,2.59,2.59,2.59,2029.97,127,37.58,28594.94
3320.38,31.73,65,6.6,6.6,6.6,6.6,6.6,1995.02,126.99,37.54,33369.76
18993.46,44.85,17.34,4.78,4.78,4.78,4.78,4.78,2015.97,126.95,37.54,44311.83
62430.16,4.1,71.88,5.64,5.64,5.64,5.64,5.64,2010.24,127.03,37.59,13576.97
19883.11,36.03,52.84,5.63,5.63,5.63,5.63,5.63,2007.04,126.92,37.55,18641.94
52052.41,24.45,7.26,8.71,8.71,8.71,8.71,8.71,2007.8,127,37.56,16961.4
37244.08,38.14,17.73,13.92,13.92,13.92,13.92,13.92,2003.67,127.02,37.55,25162.75
35234.11,21.97,36.08,8.76,8.76,8.76,8.76,8.76,2009.62,126.98,37.43,41665.41
40077.74,56.02,27.42,5.5,5.5,5.5,5.5,5.5,1999.36,126.95,37.57,7015.62
49892.3,9.09,81.19,8.43,8.43,8.43,8.43,8.43,2009.68,126.95,37.55,13461.63
7025.31,18.82,100.29,0.2,0.2,0.2,0.2,0.2,2013.24,126.87,37.54,20373.1
28136.25,38.31,9.06,6.63,6.63,6.63,6.63,6.63,2012.62,126.89,37.51,27487.38
36044.53,39.78,58.69,11.6,11.6,11.6,11.6,11.6,1997.77,126.97,37.65,27868.64
55402.44,31.93,2.66,15.37,15.37,15.37,15.37,15.37,2004.16,126.93,37.5,12069.69
7743.74,53.25,29.68,7.42,7.42,7.42,7.42,7.42,2004.3,126.84,37.59,34042.32
17441.15,33.03,23.23,11.34,11.34,11.34,11.34,11.34,2017.85,126.81,37.58,33087.94
38954.17,38.19,48.02,11.18,11.18,11.18,11.18,11.18,2025.39,126.96,37.52,16083.26
46855.56,34.93,25.43,16.31,16.31,16.31,16.31,16.31,2013.23,126.78,37.63,30477.15
60389.87,52.81,88.79,4.35,4.35,4.35,4.35,4.35,2013.7,126.92,37.49,26139.19
46443.24,53.45,61.54,7.37,7.37,7.37,7.37,7.37,2010.25,126.96,37.52,25153.83
7419.98,50.11,51.5,3.42,3.42,3.42,3.42,3.42,2012.25,127.06,37.54,5519.76
8270.82,63.32,60.8,2.31,2.31,2.31,2.31,2.31,1991.82,127.02,37.57,29929.36
48139.65,44.91,81.12,3.56,3.56,3.56,3.56,3.56,2005.73,126.97,37.51,22225.46
38064.67,67.06,12.22,7.94,7.94,7.94,7.94,7.94,2006.65,126.93,37.55,16774.35
35940.96,37.86,11.18,7.1,7.1,7.1,7.1,7.1,2016.6,126.96,37.54,20615.1
45104.55,14.92,58.59,10.12,10.12,10.12,10.12,10.12,2011.15,126.78,37.51,22386.76
15056.55,8.77,81.61,7.15,7.15,7.15,7.15,7.15,2004.85,127.11,37.54,14693.94
31198.71,19.95,30.47,8.5,8.5,8.5,8.5,8.5,2015.86,126.99,37.47,19325.11
20607.88,30.4,57.27,11.44,11.44,11.44,11.44,11.44,2006.54,127.01,37.51,35139.63
72033.56,28.13,4.43,0.98,0.98,0.98,0.98,0.98,2002.35,127.01,37.48,18779.68
36975.88,21.7,15.06,9.53,9.53,9.53,9.53,9.53,2011.38,126.81,37.54,14819.48
52261.85,25.58,66.74,5.71,5.71,5.71,5.71,5.71,2016.47,127.07,37.59,15472.38
11303.58,61.98,15.88,5.67,5.67,5.67,5.67,5.67,2012.79,126.8,37.54,26855.33
39395.58,4.99,151.22,0.63,0.63,0.63,0.63,0.63,2003.05,127.11,37.46,30134.08
45213.83,30.79,28.71,4.24,4.24,4.24,4.24,4.24,2012.64,127.2,37.48,23555.56
30877.12,34.01,32.84,8.87,8.87,8.87,8.87,8.87,2015.65,126.96,37.52,11446.41
38420.81,41.72,82.42,1.75,1.75,1.75,1.75,1.75,2012.99,127.05,37.57,2897.41
11214.06,8.78,7.85,0.87,0.87,0.87,0.87,0.87,2003.99,126.96,37.53,14122.01
47272.98,1.4,79.42,10.99,10.99,10.99,10.99,10.99,2018.27,126.86,37.51,33997.74
32738.03,28.4,67.57,2.74,2.74,2.74,2.74,2.74,2012.83,127.14,37.55,27270.08
42200.96,24.65,74.66,7.39,7.39,7.39,7.39,7.39,2017.25,126.91,37.62,15077.23
6689.82,20.47,50.1,1.53,1.53,1.53,1.53,1.53,2020.37,126.83,37.43,14798.67
38901.91,32.43,118.05,9.66,9.66,9.66,9.66,9.66,2017.59,127.15,37.54,19180.81
46577.51,12.61,5.54,2.22,2.22,2.22,2.22,2.22,2008.51,126.98,37.55,12133.57
91008.13,17.18,82.63,3.64,3.64,3.64,3.64,3.64,2005.42,126.97,37.52,14904.79
7937,57.07,106.44,4.78,4.78,4.78,4.78,4.78,2012,126.92,37.49,8064.87
21553.25,8.43,15.5,5.84,5.84,5.84,5.84,5.84,2012.43,126.92,37.54,16784.31
24764.35,50.49,76.5,8.52,8.52,8.52,8.52,8.52,2009.8,126.96,37.62,45110.62
52866.96,29.22,5.73,14.01,14.01,14.01,14.01,14.01,2012.95,126.93,37.51,26025.13
10634.64,8.57,68.05,5.63,5.63,5.63,5.63,5.63,2012.3,127.01,37.59,11939.06
61529.74,31.24,41.36,4.59,4.59,4.59,4.59,4.59,2026.77,126.92,37.65,20202.88
62851.12,14.98,22.92,8.69,8.69,8.69,8.69,8.69,2012.44,127.01,37.57,3899.62
30831.85,6.93,15.05,4.42,4.42,4.42,4.42,4.42,2014.1,126.9,37.55,8805.29
26610.18,47.9,8.07,12.99,12.99,12.99,12.99,12.99,2002.26,126.98,37.51,21794.45
70757.93,26.16,1.98,3.36,3.36,3.36,3.36,3.36,2011.37,126.91,37.5,40935.74
8761.49,16.43,4.94,5.55,5.55,5.55,5.55,5.55,2013.06,127.11,37.53,13806.68
33398.27,29.77,15.01,13.67,13.67,13.67,13.67,13.67,2019.21,127.05,37.56,13433.44
31870.07,23.63,121.44,2.4,2.4,2.4,2.4,2.4,2007.25,126.86,37.56,43280.53
51083.71,3.5,37.62,4.96,4.96,4.96,4.96,4.96,1997.98,126.96,37.59,18286.27
22125.19,17.42,71.35,13.87,13.87,13.87,13.87,13.87,2014.41,126.92,37.56,22566.78
58086.25,37.75,36.46,10.35,10.35,10.35,10.35,10.35,2022.89,126.88,37.55,23451.8
29147.97,63.45,53.65,13.48,13.48,13.48,13.48,13.48,2019.5,127.05,37.52,31331.17
14287.82,8.29,19.58,2.38,2.38,2.38,2.38,2.38,2011.28,127.15,37.54,25507.78
43226.54,19.53,3.06,8.52,8.52,8.52,8.52,8.52,2007.68,126.87,37.5,11598.55
29351.7,14.77,7.28,0.9,0.9,0.9,0.9,0.9,1995.43,126.99,37.54,45077.4
37283.26,43.71,7.25,3.07,3.07,3.07,3.07,3.07,2006.78,127.07,37.58,30549.34
33783.55,23.65,10.82,8.77,8.77,8.77,8.77,8.77,2013.04,127.02,37.5,29786.6
72834.5,41.25,71.59,2.38,2.38,2.38,2.38,2.38,2017.89,126.96,37.62,18404.75
57432.17,35.69,25.4,1.82,1.82,1.82,1.82,1.82,2004.85,126.84,37.52,23201
30986.28,24,17.95,14,14,14,14,14,2020.88,126.9,37.51,26717.07
17443.98,26.95,45.86,5.47,5.47,5.47,5.47,5.47,2004.94,126.93,37.56,33411.53
38804.13,18.53,48.87,0.32,0.32,0.32,0.32,0.32,2019.43,126.9,37.58,24469.53
71078.34,9.28,13.22,9.76,9.76,9.76,9.76,9.76,2005.1,127.1,37.5,5676.11
61068.67,6.15,91.11,5.11,5.11,5.11,5.11,5.11,2014.85,127.08,37.55,15211.53
54944.6,53.53,10.93,5.93,5.93,5.93,5.93,5.93,2025.81,127.01,37.49,23954.18
50435.86,49.72,82.14,0.69,0.69,0.69,0.69,0.69,2014.5,126.99,37.54,45317.47
8212.45,36.31,52.82,5.76,5.76,5.76,5.76,5.76,2023.93,126.9,37.55,30575.53
1107.94,53.07,45.78,3.82,3.82,3.82,3.82,3.82,2008,126.98,37.53,12329.72
46509.64,55.95,95.8,5.94,5.94,5.94,5.94,5.94,2009.21,126.97,37.48,36442.03
44935.54,42.46,59.39,15.46,15.46,15.46,15.46,15.46,2014.07,126.94,37.56,4367.02
61855.38,25.2,65.44,7.76,7.76,7.76,7.76,7.76,2023.34,126.88,37.54,24520.09
44338.55,29.88,33.34,9.61,9.61,9.61,9.61,9.61,2019.7,126.99,37.5,25855.84
41135.28,40.28,55.77,6.78,6.78,6.78,6.78,6.78,2018.12,126.96,37.53,7831.25
45306.81,28.93,74.34,10.34,10.34,10.34,10.34,10.34,2000.93,126.96,37.47,19114.44
66774.84,24.74,48.3,2.22,2.22,2.22,2.22,2.22,2021.34,126.89,37.49,33096.01
39867.79,44.42,81.39,6.64,6.64,6.64,6.64,6.64,2008.07,126.87,37.5,17023.3
37830.06,72.52,17.26,12.56,12.56,12.56,12.56,12.56,2010.15,126.96,37.47,10810.76
34621.32,28.24,13.32,9.28,9.28,9.28,9.28,9.28,1999.09,126.82,37.49,38128.73
38353.28,48.67,16.22,6.83,6.83,6.83,6.83,6.83,2010.79,127.12,37.49,20141.28
8194.06,15.65,102.53,9.99,9.99,9.99,9.99,9.99,2020.59,126.97,37.53,17323.33
14232.68,38.22,23.15,16.46,16.46,16.46,16.46,16.46,2011.47,127.05,37.5,26874.35
33818.22,43.94,17.92,0.74,0.74,0.74,0.74,0.74,2002.94,127.01,37.53,29427
40437.7,2.38,59.38,0.48,0.48,0.48,0.48,0.48,1999.29,127.06,37.51,27266.64
21867.12,20.08,28.34,5.57,5.57,5.57,5.57,5.57,2022.4,126.97,37.58,13847.19
27364.48,15.17,43.58,2.11,2.11,2.11,2.11,2.11,2020.88,126.82,37.54,1090.26
60448.26,43.03,0.78,7.26,7.26,7.26,7.26,7.26,2018.18,126.87,37.55,25120.24
70969.58,28.9,66.92,2.51,2.51,2.51,2.51,2.51,2013.66,127.01,37.48,29173.48
